Row,Company,Ask for,Dial,Phone,What this call is,Notes
"257","Complete Flood Restoration","Eric (Owner)","2105594790","(210) 559-4790","Cold call → demo #; email found on company site","2026-08-16 sourced"
"258","DrySmart","","2102759738","(210) 275-9738","Cold call → demo #","2026-08-16 sourced"
"259","Water and Fire Restoration Team","","7262384306","(726) 238-4306","Cold call → demo #","2026-08-16 sourced"
"260","Sullivan's Cleaning & Restoration","Patrick Sullivan (Owner)","9203371986","(920) 337-1986","Cold call → demo #","2026-08-10 sourced"
"261","Pro Clean Restoration & Floor Care","Jesse Callison (President/Owner)","6362336826","(636) 233-6826","Cold call → demo #","2026-08-06 sourced"
"262","SteamPro Restoration","Family-owned since 1994","8707934834","(870) 793-4834","Cold call → demo #","2026-08-05 sourced"
"263","Veteran Restoration","Steven Gern (President)","4695219511","(469) 521-9511","Cold call → demo #","2026-08-05 sourced"
"264","Restoration Warriors","Jordan Plunk (Owner)","9032781120","(903) 278-1120","Cold call → demo #","2026-08-05 sourced"
"265","CleanWay Restoration & Construction","Nate & Shawn Easley","8005702320","(800) 570-2320","Verify phone first","2026-08-05 sourced"
"266","Arkansas Restoration Services, Inc.","","4799672018","(479) 967-2018","Verify phone first","[2026-08-08] left a message with receptionist"
"267","Titan Restoration & Cleaning","Robert & Leslie Gamez (Owners)","9407829211","(940) 782-9211","Verify phone first","2026-08-05 sourced"
"268","Phoenix Restoration Services, Inc.","Dave Salas (Owner)","6202766994","(620) 276-6994","Verify phone first","2026-08-05 sourced"
"269","Teddy's Cleaning & Restoration LLC","Father-son team","4052022401","(405) 202-2401","Find number first","2026-08-05 sourced"
"270","Simply Clean of the QC","Matt Hamilton (Owner)","3097977740","(309) 797-7740","Cold call → demo #","2026-08-04 sourced"
"271","Restore It Restoration LLC","Lonnie A. Beauchamp","5736329283","(573) 632-9283","Verify phone first","2026-08-04 sourced"
"272","Srita & Sons Restoration","","4799002639","(479) 900-2639","Cold call → demo #","2026-08-03 sourced"
"273","Wall 2 Wall Restoration","Kevin","4792526650","(479) 252-6650","Cold call → demo #","2026-08-03 sourced"
"274","Safe Home Restoration of NW Arkansas","Rob Stover & Mike Alley","4792575960","(479) 257-5960","Cold call → demo #","2026-08-03 sourced"
"275","Power Restoration of Rockford","","8157213493","(815) 721-3493","Verify phone first","2026-08-02 sourced"
"276","ProSteam Branson","","4175982080","(417) 598-2080","Verify phone first","2026-08-02 sourced"
"277","Performance Restoration LLC","","3196262292","(319) 626-2292","Verify phone first","2026-08-02 sourced"
"278","Phoenix Renovation & Restoration","Brad Heise (CEO)","9135990055","(913) 599-0055","Cold call (confirm headcount fits ICP)","2026-08-01 sourced"
"279","Repairs Unlimited (RUI Restoration)","Chris Santiago (CEO)","9132626937","(913) 262-6937","Cold call → demo #","2026-08-01 sourced"
"280","B.J.'s Restoration","","3098291500","(309) 829-1500","Find number first","2026-08-01 sourced"
"281","Water Damage Pro of Edwardsville","","6188003633","(618) 800-3633","Verify independence (possible lead-gen network)","2026-08-01 sourced"
"282","Simpson Restoration LLC","","4177595117","(417) 759-5117","Find number first","2026-08-01 sourced"
"283","Bryant Restoration","","5733666351","(573) 366-6351","Verify phone first","2026-08-01 sourced"
"284","Greene Planet","","4174154357","(417) 415-4357","Find number first","2026-08-01 sourced"
"285","Beadles Property Maintenance","","4178403330","(417) 840-3330","Find number first","2026-08-01 sourced"
"286","McDowell Roofing & Restoration","","4175403947","(417) 540-3947","Find number first","2026-08-01 sourced"
"287","Compass Restoration LLC","","4178874357","(417) 887-4357","Find number first","2026-08-01 sourced"
"288","RC Restoration LLC","","5635433121","(563) 543-3121","Verify fit (markets as roofing co)","2026-08-01 sourced"
"289","Service Pro Restoration","","5155171283","(515) 517-1283","Verify phone first","2026-08-01 sourced"
"290","Service Pros (Service Restore Pro)","","3192992080","(319) 299-2080","Verify phone first","2026-08-01 sourced"
"291","True North Restoration of Iowa (Cedar Valley)","","3192203228","(319) 220-3228","Verify phone first","2026-08-01 sourced"
"292","Siouxland Restoration Inc","","7124814325","(712) 481-4325","Verify phone first","2026-08-01 sourced"
"293","Mr. Power Clean","","4178818989","(417) 881-8989","Find number first","2026-07-31 sourced"
"294","Water Damage 24","","5014084062","(501) 408-4062","Find number first","2026-07-31 sourced"
"295","Patriot Water Damage","","9188003372","(918) 800-3372","Find number first","2026-07-31 sourced"
